"syslunr","sysla","hreppsnr","hreppur","baernr","baer","bls"
"VI","Strandasýsla",1,"Árneshreppur",1,"Kolbeinsvík",211
"VI","Strandasýsla",1,"Árneshreppur",2,"Byrgisvík",211
"VI","Strandasýsla",1,"Árneshreppur",3,"Veiðileysa",211
"VI","Strandasýsla",1,"Árneshreppur",4,"Kambur",211
"VI","Strandasýsla",1,"Árneshreppur",5,"Kjós",211
"VI","Strandasýsla",1,"Árneshreppur",6,"Reykjarfjörður",211
"VI","Strandasýsla",1,"Árneshreppur",7,"Naustavík",211
"VI","Strandasýsla",1,"Árneshreppur",8,"Kjörsvogur",211
"VI","Strandasýsla",1,"Árneshreppur",9,"Gjögur",211
"VI","Strandasýsla",1,"Árneshreppur",10,"Reykjanes",211
"VI","Strandasýsla",1,"Árneshreppur",11,"Ávík minni",211
"VI","Strandasýsla",1,"Árneshreppur",12,"Ávík meiri",211
"VI","Strandasýsla",1,"Árneshreppur",13,"Finnbogastaðir",211
"VI","Strandasýsla",1,"Árneshreppur",14,"Bær",211
"VI","Strandasýsla",1,"Árneshreppur",15,"Árnes",211
"VI","Strandasýsla",1,"Árneshreppur",16,"Melar",211
"VI","Strandasýsla",1,"Árneshreppur",17,"Norðurfjörður",211
"VI","Strandasýsla",1,"Árneshreppur",18,"Krossnes",212
"VI","Strandasýsla",1,"Árneshreppur",19,"Fell",212
"VI","Strandasýsla",1,"Árneshreppur",20,"Munaðarnes",212
"VI","Strandasýsla",1,"Árneshreppur",21,"Eyri",212
"VI","Strandasýsla",1,"Árneshreppur",22,"Ingólfsfjörður",212
"VI","Strandasýsla",1,"Árneshreppur",23,"Seljanes",212
"VI","Strandasýsla",1,"Árneshreppur",24,"Ófeigsfjörður",212
"VI","Strandasýsla",1,"Árneshreppur",25,"Drangavík",212
"VI","Strandasýsla",1,"Árneshreppur",26,"Drangar",212
"VI","Strandasýsla",1,"Árneshreppur",27,"Skjaldabjarnarvík",212
"VI","Strandasýsla",2,"Kaldrananeshreppur",28,"Bólstaður",212
"VI","Strandasýsla",2,"Kaldrananeshreppur",29,"Bassastaðir",212
"VI","Strandasýsla",2,"Kaldrananeshreppur",30,"Sandnes",213
"VI","Strandasýsla",2,"Kaldrananeshreppur",31,"Hella",213
"VI","Strandasýsla",2,"Kaldrananeshreppur",32,"Kleifar",213
"VI","Strandasýsla",2,"Kaldrananeshreppur",33,"Hafnarhólmi",213
"VI","Strandasýsla",2,"Kaldrananeshreppur",34,"Gautshamar",213
"VI","Strandasýsla",2,"Kaldrananeshreppur",35,"Drangsnes",213
"VI","Strandasýsla",2,"Kaldrananeshreppur",36,"Bær",213
"VI","Strandasýsla",2,"Kaldrananeshreppur",37,"Bjarnarnes",213
"VI","Strandasýsla",2,"Kaldrananeshreppur",38,"Kaldrananes",213
